85070 Dielectric Probe Software E07.02.29
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, September 28, 2017 13:32:23"

frequency,e',e''/e'
   2000000.0000,   7.6106,   0.7595
  61980000.0000,   8.8231,   0.0459
 121960000.0000,   8.7663,   0.0166
 181940000.0000,   8.7176,   0.0030
 241920000.0000,   8.7036,  -0.0058
 301900000.0000,   8.7295,  -0.0075
 361880000.0000,   8.7589,  -0.0033
 421860000.0000,   8.7573,  -0.0019
 481840000.0000,   8.7893,   0.0062
 541820000.0000,   8.8155,   0.0108
 601800000.0000,   8.8079,   0.0145
 661780000.0000,   8.8226,   0.0176
 721760000.0000,   8.8100,   0.0188
 781740000.0000,   8.8302,   0.0168
 841720000.0000,   8.8312,   0.0115
 901700000.0000,   8.8467,   0.0114
 961680000.0000,   8.8693,   0.0080
1021660000.0000,   8.8516,   0.0108
1081640000.0000,   8.8307,   0.0150
1141620000.0000,   8.8162,   0.0199
1201600000.0000,   8.8216,   0.0222
1261580000.0000,   8.8123,   0.0244
1321560000.0000,   8.7863,   0.0276
1381540000.0000,   8.7760,   0.0298
1441520000.0000,   8.8044,   0.0295
1501500000.0000,   8.8373,   0.0265
1561480000.0000,   8.8565,   0.0268
1621460000.0000,   8.8448,   0.0254
1681440000.0000,   8.8479,   0.0266
1741420000.0000,   8.8596,   0.0242
1801400000.0000,   8.8879,   0.0234
1861380000.0000,   8.8887,   0.0251
1921360000.0000,   8.8576,   0.0277
1981340000.0000,   8.8468,   0.0287
2041320000.0000,   8.8632,   0.0325
2101300000.0000,   8.9070,   0.0349
2161280000.0000,   8.9457,   0.0349
2221260000.0000,   8.9579,   0.0355
2281240000.0000,   8.9798,   0.0382
2341220000.0000,   9.0173,   0.0416
2401200000.0000,   9.0161,   0.0432
2461180000.0000,   9.0297,   0.0438
2521160000.0000,   9.0224,   0.0431
2581140000.0000,   9.0033,   0.0467
2641120000.0000,   9.0010,   0.0483
2701100000.0000,   9.0259,   0.0528
2761080000.0000,   9.0441,   0.0541
2821060000.0000,   9.0572,   0.0558
2881040000.0000,   9.0553,   0.0575
2941020000.0000,   9.0605,   0.0600
3001000000.0000,   9.1008,   0.0646
3060980000.0000,   9.1183,   0.0675
3120960000.0000,   9.1197,   0.0707
3180940000.0000,   9.1044,   0.0721
3240920000.0000,   9.1044,   0.0726
3300900000.0000,   9.1051,   0.0788
3360880000.0000,   9.1009,   0.0826
3420860000.0000,   9.0753,   0.0856
3480840000.0000,   9.0555,   0.0865
3540820000.0000,   9.0368,   0.0878
3600800000.0000,   9.0769,   0.0886
3660780000.0000,   9.0991,   0.0896
3720760000.0000,   9.1054,   0.0918
3780740000.0000,   9.1062,   0.0930
3840720000.0000,   9.1021,   0.0952
3900700000.0000,   9.1142,   0.0979
3960680000.0000,   9.1121,   0.0994
4020660000.0000,   9.0840,   0.1022
4080640000.0000,   9.0836,   0.1071
4140620000.0000,   9.1170,   0.1090
4200600000.0000,   9.1315,   0.1117
4260580000.0000,   9.1236,   0.1126
4320560000.0000,   9.0856,   0.1148
4380540000.0000,   9.0745,   0.1156
4440520000.0000,   9.1187,   0.1157
4500500000.0000,   9.1346,   0.1160
4560480000.0000,   9.1346,   0.1179
4620460000.0000,   9.1209,   0.1215
4680440000.0000,   9.1430,   0.1251
4740420000.0000,   9.1950,   0.1300
4800400000.0000,   9.2053,   0.1323
4860380000.0000,   9.1555,   0.1370
4920360000.0000,   9.1510,   0.1424
4980340000.0000,   9.1771,   0.1444
5040320000.0000,   9.1791,   0.1468
5100300000.0000,   9.1753,   0.1485
5160280000.0000,   9.1447,   0.1472
5220260000.0000,   9.1484,   0.1500
5280240000.0000,   9.1698,   0.1525
5340220000.0000,   9.1585,   0.1559
5400200000.0000,   9.1313,   0.1584
5460180000.0000,   9.1240,   0.1635
5520160000.0000,   9.1281,   0.1692
5580140000.0000,   9.1433,   0.1771
5640120000.0000,   9.1516,   0.1785
5700100000.0000,   9.1263,   0.1789
5760080000.0000,   9.1313,   0.1807
5820060000.0000,   9.1830,   0.1794
5880040000.0000,   9.1918,   0.1791
5940020000.0000,   9.1718,   0.1810
6000000000.0000,   9.1428,   0.1803
