85070 Dielectric Probe Software E07.02.29
Keysight Technologies,N9923A,MY51491690,A.08.17
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, September 28, 2017 13:51:17"

frequency,e',e''/e'
   2000000.0000,  21.8413,   0.7573
  61980000.0000,  14.8154,   0.0561
 121960000.0000,  14.7083,   0.0433
 181940000.0000,  14.5014,   0.0323
 241920000.0000,  14.4361,   0.0116
 301900000.0000,  14.4427,   0.0001
 361880000.0000,  14.4697,  -0.0060
 421860000.0000,  14.5465,  -0.0057
 481840000.0000,  14.6620,   0.0000
 541820000.0000,  14.7526,   0.0098
 601800000.0000,  14.7468,   0.0184
 661780000.0000,  14.7309,   0.0241
 721760000.0000,  14.7437,   0.0267
 781740000.0000,  14.8118,   0.0243
 841720000.0000,  14.8683,   0.0176
 901700000.0000,  14.9259,   0.0136
 961680000.0000,  15.0007,   0.0110
1021660000.0000,  15.0208,   0.0110
1081640000.0000,  14.9627,   0.0137
1141620000.0000,  14.8900,   0.0173
1201600000.0000,  14.8250,   0.0202
1261580000.0000,  14.7465,   0.0240
1321560000.0000,  14.6585,   0.0299
1381540000.0000,  14.6278,   0.0330
1441520000.0000,  14.6855,   0.0331
1501500000.0000,  14.7815,   0.0311
1561480000.0000,  14.8521,   0.0302
1621460000.0000,  14.8932,   0.0300
1681440000.0000,  14.8989,   0.0314
1741420000.0000,  14.9435,   0.0290
1801400000.0000,  14.9892,   0.0252
1861380000.0000,  14.9631,   0.0250
1921360000.0000,  14.8764,   0.0255
1981340000.0000,  14.8238,   0.0269
2041320000.0000,  14.8702,   0.0328
2101300000.0000,  14.9431,   0.0322
2161280000.0000,  14.9921,   0.0332
2221260000.0000,  15.0179,   0.0352
2281240000.0000,  15.0664,   0.0401
2341220000.0000,  15.1446,   0.0440
2401200000.0000,  15.1977,   0.0469
2461180000.0000,  15.2209,   0.0455
2521160000.0000,  15.1871,   0.0439
2581140000.0000,  15.1370,   0.0457
2641120000.0000,  15.1472,   0.0494
2701100000.0000,  15.1715,   0.0517
2761080000.0000,  15.2220,   0.0536
2821060000.0000,  15.2388,   0.0551
2881040000.0000,  15.2413,   0.0578
2941020000.0000,  15.2721,   0.0617
3001000000.0000,  15.3330,   0.0676
3060980000.0000,  15.3835,   0.0703
3120960000.0000,  15.3659,   0.0715
3180940000.0000,  15.3177,   0.0733
3240920000.0000,  15.3149,   0.0752
3300900000.0000,  15.3346,   0.0788
3360880000.0000,  15.3402,   0.0833
3420860000.0000,  15.3113,   0.0870
3480840000.0000,  15.3027,   0.0900
3540820000.0000,  15.3113,   0.0910
3600800000.0000,  15.3683,   0.0914
3660780000.0000,  15.3626,   0.0929
3720760000.0000,  15.3392,   0.0965
3780740000.0000,  15.3476,   0.0997
3840720000.0000,  15.4066,   0.1001
3900700000.0000,  15.4393,   0.1019
3960680000.0000,  15.3788,   0.1068
4020660000.0000,  15.3052,   0.1142
4080640000.0000,  15.3199,   0.1188
4140620000.0000,  15.4025,   0.1183
4200600000.0000,  15.3784,   0.1167
4260580000.0000,  15.2980,   0.1182
4320560000.0000,  15.1963,   0.1212
4380540000.0000,  15.3116,   0.1222
4440520000.0000,  15.4375,   0.1213
4500500000.0000,  15.3986,   0.1208
4560480000.0000,  15.3002,   0.1250
4620460000.0000,  15.3213,   0.1323
4680440000.0000,  15.4487,   0.1363
4740420000.0000,  15.5339,   0.1389
4800400000.0000,  15.4294,   0.1407
4860380000.0000,  15.2980,   0.1446
4920360000.0000,  15.3209,   0.1484
4980340000.0000,  15.4802,   0.1504
5040320000.0000,  15.5278,   0.1499
5100300000.0000,  15.3824,   0.1515
5160280000.0000,  15.2492,   0.1538
5220260000.0000,  15.2770,   0.1583
5280240000.0000,  15.4070,   0.1612
5340220000.0000,  15.3842,   0.1631
5400200000.0000,  15.2899,   0.1686
5460180000.0000,  15.2794,   0.1729
5520160000.0000,  15.4175,   0.1770
5580140000.0000,  15.5498,   0.1818
5640120000.0000,  15.4939,   0.1818
5700100000.0000,  15.3194,   0.1810
5760080000.0000,  15.3010,   0.1817
5820060000.0000,  15.4570,   0.1811
5880040000.0000,  15.4776,   0.1787
5940020000.0000,  15.3180,   0.1811
6000000000.0000,  15.1618,   0.1858
